author_id,author,gender,COUNT of id
1,Ricardo Roa,M,240
37,Ricardo Kirschbaum,M,209
49,Silvia Fesquet,F,205
66,Mario Wainfeld,M,178
96,Claudio Jacquelin,M,177
93,Joaquín Morales Solá,M,168
70,Eduardo van der Kooy,M,168
71,Alcadio Oña,M,155
78,Sergio Suppo,M,151
5,Carlos Pagni,M,147
50,Marcelo Cantelmi,M,136
45,Carlos M. Reymundo Roberts,M,133
148,Pablo Sirvén,M,127
65,Eric Nepomuceno,M,125
131,Fernando Laborda,M,124
140,Luis Bruschtein,M,121
73,Fernando Gonzalez,M,117
83,Eduardo Aliverti,M,112
82,Mempo Giardinelli,M,106
657,Martín Granovsky,M,104
166,Ignacio Zuleta,M,102
117,Washington Uranga,M,102
102,Daniel Fernández Canedo,M,101
38,Marcelo Bonelli,M,97
101,Héctor Gambini,M,94
46,Francisco Olivera,M,93
123,Emir Sader,M,92
16,Sergio Berensztein,M,89
195,Emilio Cárdenas,M,83
47,Héctor M. Guyot,M,83
48,Eduardo Fidanza,M,82
265,Marcelo Rudaeff (Rudy),M,79
172,Nicolás Litvinoff,M,78
946,Fabian Bosoer,M,76
496,John Carlin,M,76
243,Mariana Carbajal,F,76
205,Miguel Wiñazki,M,76
146,Jorge Fernández Díaz,M,76
196,Bernardo Stamateas,M,75
147,Néstor O. Scibona,M,74
603,Carlos Heller,M,73
285,Alberto Amato,M,72
435,Andrés Oppenheimer,M,70
287,Pablo Montagna,M,68
450,Nora Bär,F,66
149,Juan Carlos de Pablo,M,66
181,Loris Zanatta,M,65
133,Jorge Liotti,M,65
90,Atilio A. Boron,M,65
124,Daniel Gigena,M,64
106,Claudio Scaletta,M,63
154,Alfredo Zaiat,M,61
64,Edgardo Mocca,M,57
111,Martín Rodríguez Yebra,M,56
194,Juan José Panno,M,54
274,Víctor Hugo Ghitta,M,53
53,Gustavo Veiga,M,53
336,Raquel Garzón,F,52
261,Eduardo Fabregat,M,52
13,Jorge Fontevecchia,M,51
86,Hugo Alconada Mon,M,49
222,Mario Vargas Llosa,M,48
310,Inés Capdevila,F,47
6,Laura Di Marco,F,47
673,Graciela Guadalupe,F,45
513,Orlando J. Ferreres,M,45
141,David Cufré,M,44
113,Diego Angeli,M,42
325,Ariel Torres,M,41
247,Jorge Ossona,M,41
94,José Del Rio,M,39
294,Marta Dillon,F,38
28,Daniel Bilotta,M,38
136,Rogelio Alaniz,M,37
177,Juan Gabriel Tokatlian,M,35
108,Gonzalo Abascal,M,35
122,Pablo Mendelevich,M,34
87,Valentín Muro,M,34
2,Julio Blanck,M,34
232,Andrea Churba,F,33
184,Mariana Arias,F,33
76,Guillermo Oliveto,M,33
396,Horacio Cecchi,M,32
488,Diana Fernández Irusta,F,31
1856,Willy Kohan,M,30
1058,Pablo Gianera,M,30
640,Patricia Kolesnicov,F,30
144,Alejandro Borensztein,M,30
68,Sergio Sinay,M,30
848,Ricardo Braginski,M,29
343,Cristian Mira,M,28
107,Luciana Peker,F,28
1729,Mariana Iglesias,F,27
27,Roberto García,M,27
7,Luis Majul,M,27
332,Diego Cabot,M,26
262,Raúl Dellatorre,M,26
180,Soledad Vallejos,F,26
120,Eduardo Febbro,M,26
109,Alieto Aldo Guadagni,M,26
84,Norma Morandini,F,26
36,Daniel Link,M,26
571,Sandra Russo,F,25
304,Natalio Botana,M,25
211,Ricardo Arriazu,M,25
208,Facundo Manes,M,25
145,Rodolfo Terragno,M,25
35,Angélica Gorodischer,F,25
34,Daniel Guebel,M,25
33,Fabián Casas,M,25
21,Javier Calvo,M,25
17,Gustavo González,M,25
14,Nelson Castro,M,25
158,Horacio González,M,24
112,Nicolás Balinotti,M,24
61,Martín Kohan,M,24
60,Rafael Spregelburd,M,24
41,Sebastián Fest,M,24
1314,Dolores Caviglia,F,23
861,Rodrigo Fresán,M,23
15,Jaime Duran Barba,M,23
10,Malena Pichot,F,23
351,Pablo Vaca,M,22
284,Carlos Pérez Llana,M,22
57,Carlos De Angelis,M,22
19,Hugo Asch,M,22
354,Maritchu Seitún,F,21
283,Julio Maier,M,21
646,Paz Rodríguez Niell,F,20
625,María Pia López,F,20
419,Federico Finchelstein,M,20
135,Vicente Palermo,M,20
125,Rosendo Fraga,M,20
25,Damián Tabarovsky,M,20
24,Guillermo Piro,M,20
890,Jorge Majfud,M,19
540,Roberto Gargarella,M,19
535,Marina Aizen,F,19
464,Sergio Kiernan,M,19
341,Fernando D´Addario,M,19
297,Claudio Campagna,M,19
200,Laura Serra,F,19
56,Jorge Lanata,M,19
533,Joana Bonet,F,18
483,Alfredo Serrano Mancilla,M,18
429,José Pablo Feinmann,M,18
157,Jairo Straccia,M,18
105,María Moreno,F,18
18,Julio Petrarca,M,18
1329,Jorge Rosales,M,17
974,Magdalena Ruiz Guiñazú,F,17
910,Daniel Guiñazú,M,17
808,Marcelo Elizondo,M,17
806,Alvaro Abós,M,17
796,Andrés Ferrari Haines,M,17
745,Juan Manuel Karg,M,17
167,Marita Carballo,F,17
1721,Florencia Donovan,F,16
631,Liliana Viola,F,16
482,Ernesto Tiffenberg,M,16
202,Miguel Hein,M,16
186,Diana Wang,F,16
95,Jaime Rosemberg,M,16
794,Santiago O’Donnell,M,15
624,Diana Baccaro,F,15
615,Mariano Turzi,M,15
567,Héctor Pedro Recalde,M,15
508,Lucrecia Teixidó,F,15
478,Boaventura de Sousa Santos,M,15
337,Silvia Naishtat,F,15
72,Ricardo Lagos,M,15
2098,Jaime Bayly,M,14
596,Camila Bretón,F,14
121,Martin Granovsky,M,14
12,Karina Micheletto,F,14
1201,Hugo Beccacece,M,13
597,Adrián De Benedictis,M,13
449,José Claudio Escribano,M,13
360,Luciano Román,M,13
317,Claudio Zeiger,M,13
305,Luis Cortina,M,13
295,Sergio Zabalza,M,13
237,Nora Veiras,F,13
231,Alejandro Katz,M,13
228,Eduardo Jozami,M,13
160,Quintín,M,13
39,Eugenio Díaz Bonilla,M,13
22,Pablo Marchetti,M,13
